## Gemeindeliste sortiert nach Gemeindekennziffer, Gebietsstand 2015;;;;;
## Erstellt am:;26.03.2015 14:02:39;;;;
## Gemeindekennziffer;Gemeindename;Gemeindecode;Status;PLZ des Gem.Amtes;weitere Postleitzahlen

10101;Eisenstadt;10101;SS;7000;
10201;Rust;10201;SS;7071;
10301;Breitenbrunn am Neusiedler See;10301;M;7091;
10302;Donnerskirchen;10302;M;7082;
10303;Großhöflein;10303;M;7051;
10304;Hornstein;10304;M;7053;2491
10305;Klingenbach;10305;;7013;
10306;Leithaprodersdorf;10306;;2443;
10307;Mörbisch am See;10307;;7072;
10308;Müllendorf;10308;;7052;
10309;Neufeld an der Leitha;10309;ST;2491;
10310;Oggau am Neusiedler See;10310;M;7063;
10311;Oslip;10311;;7064;
10312;Purbach am Neusiedler See;10312;ST;7083;
10313;Sankt Margarethen im Burgenland;10313;M;7062;
10314;Schützen am Gebirge;10314;;7081;
10315;Siegendorf;10315;M;7011;
10316;Steinbrunn;10316;M;7035;2491
10317;Trausdorf an der Wulka;10317;;7061;
10318;Wimpassing an der Leitha;10318;;2485;
10319;Wulkaprodersdorf;10319;M;7041;
10320;Loretto;10320;M;2443;
10321;Stotzing;10321;;2443;
10322;Zillingtal;10322;;7034;7033 7035
10323;Zagersdorf;10323;;7011;
10401;Bocksdorf;10401;;7551;
10402;Burgauberg-Neudauberg;10402;;8291;8292
10403;Eberau;10403;M;7521;7522
10404;Gerersdorf-Sulz;10404;;7542;7540
10405;Güssing;10405;ST;7540;7542
10406;Güttenbach;10406;M;7536;
10407;Heiligenbrunn;10407;;7522;
10408;Kukmirn;10408;M;7543;
10409;Neuberg im Burgenland;10409;;7537;
10410;Neustift bei Güssing;10410;;7540;
10411;Olbendorf;10411;;7534;
10412;Ollersdorf im Burgenland;10412;M;7533;8292
10413;Sankt Michael im Burgenland;10413;M;7535;
10414;Stegersbach;10414;M;7551;
10415;Stinatz;10415;M;7552;
10416;Strem;10416;M;7522;
10417;Tobaj;10417;;7544;
10418;Hackerberg;10418;;8292;
10419;Wörterberg;10419;;8293;
10420;Großmürbisch;10420;;7540;
10421;Inzenhof;10421;;7540;
10422;Kleinmürbisch;10422;;7540;
10423;Tschanigraben;10423;;7540;
10424;Heugraben;10424;;7551;
10425;Rohr im Burgenland;10425;;7551;
10426;Bildein;10426;;7521;
10427;Rauchwart;10427;;7535;
10428;Moschendorf;10428;;7540;
10501;Deutsch Kaltenbrunn;10501;M;7572;
10502;Eltendorf;10502;;7562;
10503;Heiligenkreuz im Lafnitztal;10503;M;7561;
10504;Jennersdorf;10504;ST;8380;8282
10505;Minihof-Liebau;10505;M;8384;
10506;Mogersdorf;10506;M;8382;
10507;Neuhaus am Klausenbach;10507;M;8385;8384
10508;Rudersdorf;10508;M;7571;7564
10509;Sankt Martin an der Raab;10509;M;8383;8350 8380 8384 8385
10510;Weichselbaum;10510;;8382;
10511;Königsdorf;10511;;7563;
10512;Mühlgraben;10512;;8385;
10601;Draßburg;10601;;7021;
10602;Forchtenstein;10602;;7212;
10603;Hirm;10603;;7024;
10604;Loipersbach im Burgenland;10604;;7020;
10605;Marz;10605;;7221;
10606;Mattersburg;10606;ST;7210;
10607;Neudörfl;10607;M;7201;
10608;Pöttelsdorf;10608;;7023;
10609;Pöttsching;10609;M;7033;7202
10610;Rohrbach bei Mattersburg;10610;M;7222;
10611;Bad Sauerbrunn;10611;;7202;
10612;Schattendorf;10612;M;7022;
10613;Sieggraben;10613;;7223;
10614;Sigleß;10614;;7032;
10615;Wiesen;10615;M;7203;7202
10616;Antau;10616;;7042;
10617;Baumgarten;10617;;7021;
10618;Zemendorf-Stöttera;10618;;7023;
10619;Krensdorf;10619;;7031;
10701;Andau;10701;M;7163;
10702;Apetlon;10702;M;7143;7132 7161
10703;Bruckneudorf;10703;;2460;2462
10704;Deutsch Jahrndorf;10704;;2423;
10705;Frauenkirchen;10705;ST;7132;
10706;Gattendorf;10706;;2474;
10707;Gols;10707;M;7122;
10708;Halbturn;10708;;7131;7123
10709;Illmitz;10709;M;7142;
10710;Jois;10710;M;7093;
10711;Kittsee;10711;M;2421;
10712;Mönchhof;10712;;7123;
10713;Neusiedl am See;10713;ST;7100;
10714;Nickelsdorf;10714;;2425;
10715;Pama;10715;;2422;
10716;Pamhagen;10716;;7152;
10717;Parndorf;10717;;7111;2471
10718;Podersdorf am See;10718;M;7141;
10719;Sankt Andrä am Zicksee;10719;M;7161;
10720;Tadten;10720;;7162;
10721;Wallern im Burgenland;10721;M;7151;
10722;Weiden am See;10722;M;7121;7100
10723;Winden am See;10723;;7092;
10724;Zurndorf;10724;M;2424;
10725;Neudorf;10725;;2475;
10726;Potzneusiedl;10726;;2473;
10727;Edelstal;10727;;2413;
10801;Deutschkreutz;10801;M;7301;
10802;Draßmarkt;10802;M;7372;7371
10803;Frankenau-Unterpullendorf;10803;;7361;7452
10804;Großwarasdorf;10804;;7304;
10805;Horitschon;10805;M;7312;
10806;Kaisersdorf;10806;;7342;
10807;Kobersdorf;10807;M;7332;7341
10808;Lackenbach;10808;M;7322;
10809;Lockenhaus;10809;M;7442;
10810;Lutzmannsburg;10810;M;7361;
10811;Mannersdorf an der Rabnitz;10811;;7444;7443
10812;Markt Sankt Martin;10812;M;7341;2812
10813;Neckenmarkt;10813;M;7311;
10814;Neutal;10814;;7343;
10815;Nikitsch;10815;;7302;7361
10816;Oberpullendorf;10816;ST;7350;7304
10817;Pilgersdorf;10817;;7441;
10818;Piringsdorf;10818;;7373;
10819;Raiding;10819;M;7321;
10820;Ritzing;10820;;7323;
10821;Steinberg-Dörfl;10821;M;7453;
10822;Stoob;10822;M;7344;
10823;Weppersdorf;10823;M;7331;
10824;Lackendorf;10824;;7321;
10825;Unterfrauenhaid;10825;M;7321;
10826;Unterrabnitz-Schwendgraben;10826;;7371;
10827;Weingraben;10827;;7374;
10828;Oberloisdorf;10828;;7451;
10901;Bad Tatzmannsdorf;10901;;7431;
10902;Bernstein;10902;M;7434;2852
10903;Deutsch Schützen-Eisenberg;10903;;7474;
10904;Grafenschachen;10904;;7423;
10905;Großpetersdorf;10905;M;7503;
10906;Hannersdorf;10906;;7473;7474
10907;Kemeten;10907;;7531;
10908;Kohfidisch;10908;M;7512;
10909;Litzelsdorf;10909;M;7532;
10910;Loipersdorf-Kitzladen;10910;;7411;
10911;Mariasdorf;10911;M;7433;
10912;Markt Allhau;10912;M;7411;
10913;Markt Neuhodis;10913;M;7464;
10914;Mischendorf;10914;;7511;
10915;Oberdorf im Burgenland;10915;;7501;
10916;Oberschützen;10916;;7432;2852 7400 7431
10917;Oberwart;10917;ST;7400;
10918;Pinkafeld;10918;ST;7423;
10919;Rechnitz;10919;M;7471;
10920;Riedlingsdorf;10920;M;7422;
10921;Rotenturm an der Pinka;10921;M;7501;
10922;Schachendorf;10922;;7472;7503
10923;Stadtschlaining;10923;ST;7461;7400
10924;Unterkohlstätten;10924;;7435;7434
10925;Unterwart;10925;;7501;
10926;Weiden bei Rechnitz;10926;;7463;7461 7503
10927;Wiesfleck;10927;;7423;
10928;Wolfau;10928;M;7412;
10929;Neustift an der Lafnitz;10929;M;7423;
10930;Jabing;10930;;7503;
10931;Badersdorf;10931;;7512;
10932;Schandorf;10932;;7472;
20101;Klagenfurt am Wörthersee;20101;SS;9020;9061 9063 9073 9201
20201;Villach;20201;SS;9500;9241 9504 9523 9524 9580 9585 9586 9587
20302;Dellach;20302;;9635;9640
20305;Hermagor-Pressegger See;20305;ST;9620;9615 9624 9631
20306;Kirchbach;20306;M;9632;9631 9633 9634
20307;Kötschach-Mauthen;20307;M;9640;9635 9651 9652
20316;St. Stefan im Gailtal;20316;;9623;9614 9615 9711
20320;Gitschtal;20320;;9622;9620
20321;Lesachtal;20321;;9653;9652 9654 9655
20402;Ebenthal in Kärnten;20402;M;9065;9020
20403;Feistritz im Rosental;20403;M;9181;9162
20405;Ferlach;20405;ST;9170;9162 9163
20409;Grafenstein;20409;M;9131;
20412;Keutschach am See;20412;;9074;
20414;Köttmannsdorf;20414;;9071;9073 9161
20415;Krumpendorf am Wörthersee;20415;;9201;9061 9210
20416;Ludmannsdorf;20416;;9072;9181
20417;Maria Rain;20417;;9161;
20418;Maria Saal;20418;M;9063;9020 9061 9064
20419;Maria Wörth;20419;;9081;9073 9082
20421;Moosburg;20421;M;9062;9061 9201 9210 9560
20424;Pörtschach am Wörther See;20424;;9210;9062 9201
20425;Poggersdorf;20425;;9130;
20428;St. Margareten im Rosental;20428;;9173;
20432;Schiefling am Wörthersee;20432;M;9535;9220
20435;Techelsberg am Wörther See;20435;;9212;9062 9220
20441;Zell;20441;;9170;9173
20442;Magdalensberg;20442;;9064;9020 9063
20501;Althofen;20501;ST;9330;9322
20502;Brückl;20502;M;9371;9064 9103
20503;Deutsch-Griffen;20503;;9572;9571
20504;Eberstein;20504;M;9372;9103 9371
20505;Friesach;20505;ST;9360;9361 9375
20506;Glödnitz;20506;;9346;9345
20508;Gurk;20508;M;9342;9341 9344
20509;Guttaring;20509;M;9334;9330 9360 9374 9375
20511;Hüttenberg;20511;M;9375;8820 8822 9335 9376
20512;Kappel am Krappfeld;20512;;9321;9314 9330 9334 9372 9373
20513;Klein St. Paul;20513;M;9373;9372 9374
20515;Liebenfels;20515;M;9556;9300 9554 9555
20518;Metnitz;20518;M;9363;8850 9362
20519;Micheldorf;20519;;9322;9360
20520;Mölbling;20520;;9330;9300 9312 9341
20523;St. Georgen am Längsee;20523;;9314;9300 9313 9321
20527;St. Veit an der Glan;20527;ST;9300;9063 9556
20530;Straßburg;20530;ST;9341;
20531;Weitensfeld im Gurktal;20531;M;9344;9343 9345
20534;Frauenstein;20534;;9311;9300 9300 9312 9556
20601;Bad Kleinkirchheim;20601;;9546;
20602;Baldramsdorf;20602;;9805;9800
20603;Berg im Drautal;20603;;9771;9761
20604;Dellach im Drautal;20604;;9772;
20605;Großkirchheim;20605;;9843;
20607;Flattach;20607;;9831;
20608;Gmünd in Kärnten;20608;ST;9853;
20609;Greifenburg;20609;M;9761;
20610;Heiligenblut am Großglockner;20610;;9844;9981
20611;Irschen;20611;;9773;9781
20613;Kleblach-Lind;20613;;9753;
20616;Lendorf;20616;;9811;9800
20618;Mallnitz;20618;;9822;
20619;Malta;20619;;9854;9853
20620;Millstatt am See;20620;M;9872;
20622;Mörtschach;20622;;9842;9841
20624;Mühldorf;20624;;9814;
20625;Oberdrauburg;20625;M;9781;
20627;Obervellach;20627;M;9821;
20630;Radenthein;20630;ST;9545;9546 9872 9873
20631;Rangersdorf;20631;;9833;9841
20632;Rennweg am Katschberg;20632;M;9863;9862
20633;Sachsenburg;20633;M;9751;9813
20634;Seeboden am Millstätter See;20634;M;9871;9800 9851 9872
20635;Spittal an der Drau;20635;ST;9800;9701 9702
20636;Stall;20636;;9832;
20637;Steinfeld;20637;M;9754;9753
20638;Trebesing;20638;;9852;9853
20639;Weißensee;20639;;9762;
20640;Winklern;20640;M;9841;9833
20642;Krems in Kärnten;20642;;9861;9862
20643;Lurnfeld;20643;M;9813;9811 9812 9814
20644;Reißeck;20644;;9815;9816
20701;Afritz am See;20701;;9542;
20702;Arnoldstein;20702;M;9601;9586 9587 9602
20703;Arriach;20703;;9543;
20705;Bad Bleiberg;20705;M;9530;9531
20707;Feistritz an der Gail;20707;;9613;
20708;Feld am See;20708;;9544;
20710;Ferndorf;20710;;9702;9701 9873
20711;Finkenstein am Faaker See;20711;M;9584;9580 9581 9582 9583 9585 9586 9587
20712;Fresach;20712;;9712;9702
20713;Hohenthurn;20713;;9613;9601 9602
20719;Nötsch im Gailtal;20719;M;9611;9531 9612 9623
20720;Paternion;20720;M;9711;9701 9710 9714
20721;Rosegg;20721;M;9232;9184 9581
20722;St. Jakob im Rosental;20722;M;9184;9182 9183
