## Gemeinden mit Ortschaften und Postleitzahlen, Gebietsstand 2015;;;;
## Erstellt am:;26.03.2015 14:02:18;;;
## Gemeindekennziffer;Gemeindename;Ortschaftkennziffer;Ortschaftsname;Postleitzahl

10101;Eisenstadt;00001;Eisenstadt;7000
10101;Eisenstadt;00002;Kleinhöflein im Burgenland;7000
10101;Eisenstadt;00003;Sankt Georgen am Leithagebirge;7000
10201;Rust;00004;Rust;7071
10301;Breitenbrunn am Neusiedler See;00005;Breitenbrunn am Neusiedler See;7091
10302;Donnerskirchen;00006;Donnerskirchen;7082
10303;Großhöflein;00007;Großhöflein;7051
10304;Hornstein;00008;Hornstein;2491 7053
10305;Klingenbach;00009;Klingenbach;7013
10306;Leithaprodersdorf;00010;Leithaprodersdorf;2443
10307;Mörbisch am See;00013;Mörbisch am See;7072
10308;Müllendorf;00014;Müllendorf;7052
10309;Neufeld an der Leitha;00015;Neufeld an der Leitha;2491
10310;Oggau am Neusiedler See;00016;Oggau am Neusiedler See;7063
10311;Oslip;00017;Oslip;7064
10312;Purbach am Neusiedler See;00018;Purbach am Neusiedler See;7083
10313;Sankt Margarethen im Burgenland;00019;Sankt Margarethen im Burgenland;7062
10314;Schützen am Gebirge;00020;Schützen am Gebirge;7081
10315;Siegendorf;00021;Siegendorf;7011
10316;Steinbrunn;00023;Steinbrunn;2491 7035
10317;Trausdorf an der Wulka;00025;Trausdorf an der Wulka;7061
10318;Wimpassing an der Leitha;00026;Wimpassing an der Leitha;2485
10319;Wulkaprodersdorf;00027;Wulkaprodersdorf;7041
10320;Loretto;00011;Loretto;2443
10321;Stotzing;00012;Stotzing;2443
10322;Zillingtal;00024;Zillingtal;7033 7034 7035
10323;Zagersdorf;00022;Zagersdorf;7011
10401;Bocksdorf;00028;Bocksdorf;7551
10402;Burgauberg-Neudauberg;00031;Burgauberg;8291
10402;Burgauberg-Neudauberg;00032;Neudauberg;8292
10403;Eberau;00033;Eberau;7521
10403;Eberau;00034;Gaas;7521
10403;Eberau;00035;Kroatisch Ehrensdorf;7522
10403;Eberau;00036;Kulm im Burgenland;7521
10403;Eberau;00039;Winten;7521
10404;Gerersdorf-Sulz;00040;Gerersdorf bei Güssing;7542
10404;Gerersdorf-Sulz;00041;Rehgraben;7540
10404;Gerersdorf-Sulz;00042;Sulz im Burgenland;7540 7542
10405;Güssing;00043;Glasing;7540
10405;Güssing;00044;Güssing;7540
10405;Güssing;00045;Krottendorf;7540
10405;Güssing;00046;Sankt Nikolaus;7540
10405;Güssing;00047;Steingraben;7540 7542
10405;Güssing;00048;Urbersdorf;7540
10406;Güttenbach;00049;Güttenbach;7536
10407;Heiligenbrunn;00050;Deutsch Bieling;7522
10407;Heiligenbrunn;00051;Hagensdorf im Burgenland;7522
10407;Heiligenbrunn;00052;Heiligenbrunn;7522
10407;Heiligenbrunn;00053;Luising;7522
10407;Heiligenbrunn;00054;Reinersdorf;7522
10408;Kukmirn;00055;Eisenhüttl;7543
10408;Kukmirn;00056;Kukmirn;7543
10408;Kukmirn;00057;Limbach;7543
10408;Kukmirn;00058;Neusiedl;7543
10409;Neuberg im Burgenland;00059;Neuberg im Burgenland;7537
10410;Neustift bei Güssing;00063;Neustift bei Güssing;7540
10411;Olbendorf;00065;Olbendorf;7534
10412;Ollersdorf im Burgenland;00067;Ollersdorf im Burgenland;7533 8292
10413;Sankt Michael im Burgenland;00069;Gamischdorf;7535
10413;Sankt Michael im Burgenland;00071;Sankt Michael im Burgenland;7535
10413;Sankt Michael im Burgenland;00072;Schallendorf im Burgenland;7535
10414;Stegersbach;00073;Stegersbach;7551
10415;Stinatz;00074;Stinatz;7552
10416;Strem;00075;Deutsch Ehrensdorf;7522
10416;Strem;00077;Steinfurt;7522
10416;Strem;00078;Strem;7522
10416;Strem;00079;Sumetendorf;7522
10417;Tobaj;00080;Deutsch Tschantschendorf;7544
10417;Tobaj;00081;Hasendorf im Burgenland;7544
10417;Tobaj;00082;Kroatisch Tschantschendorf;7544
10417;Tobaj;00083;Punitz;7544
10417;Tobaj;00084;Tobaj;7544
10417;Tobaj;00085;Tudersdorf;7544
10418;Hackerberg;00066;Hackerberg;8292
10419;Wörterberg;00068;Wörterberg;8293
10420;Großmürbisch;00060;Großmürbisch;7540
10421;Inzenhof;00061;Inzenhof;7540
10422;Kleinmürbisch;00062;Kleinmürbisch;7540
10423;Tschanigraben;00064;Tschanigraben;7540
10424;Heugraben;00029;Heugraben;7551
10425;Rohr im Burgenland;00030;Rohr im Burgenland;7551
10426;Bildein;00037;Oberbildein;7521
10426;Bildein;00038;Unterbildein;7521
10427;Rauchwart;00070;Rauchwart;7535
10428;Moschendorf;00076;Moschendorf;7540
10501;Deutsch Kaltenbrunn;00086;Deutsch Kaltenbrunn;7572
10501;Deutsch Kaltenbrunn;00087;Rohrbrunn;7572
10502;Eltendorf;00088;Eltendorf;7562
10502;Eltendorf;00090;Zahling;7562
10503;Heiligenkreuz im Lafnitztal;00091;Heiligenkreuz im Lafnitztal;7561
10503;Heiligenkreuz im Lafnitztal;00092;Poppendorf im Burgenland;7561
10504;Jennersdorf;00093;Grieselstein;8380
10504;Jennersdorf;00094;Henndorf im Burgenland;8282 8380
10504;Jennersdorf;00095;Jennersdorf;8380
10504;Jennersdorf;00096;Rax;8380
10505;Minihof-Liebau;00097;Minihof-Liebau;8384
10505;Minihof-Liebau;00098;Tauka;8384
10505;Minihof-Liebau;00099;Windisch-Minihof;8384
10506;Mogersdorf;00100;Deutsch Minihof;8382
10506;Mogersdorf;00101;Mogersdorf;8382
10506;Mogersdorf;00102;Wallendorf;8382
10507;Neuhaus am Klausenbach;00103;Bonisdorf;8384 8385
10507;Neuhaus am Klausenbach;00104;Kalch;8385
10507;Neuhaus am Klausenbach;00105;Krottendorf bei Neuhaus am Klausenbach;8385
10507;Neuhaus am Klausenbach;00107;Neuhaus am Klausenbach;8385
10508;Rudersdorf;00108;Dobersdorf;7564
10508;Rudersdorf;00109;Rudersdorf;7571
10509;Sankt Martin an der Raab;00110;Doiber;8383
10509;Sankt Martin an der Raab;00111;Gritsch;8383
10509;Sankt Martin an der Raab;00112;Neumarkt an der Raab;8380
10509;Sankt Martin an der Raab;00113;Oberdrosen;8383 8384
10509;Sankt Martin an der Raab;00114;Sankt Martin an der Raab;8383
10509;Sankt Martin an der Raab;00115;Welten;8350 8383 8385
10509;Sankt Martin an der Raab;17523;Eisenberg an der Raab;8383
10510;Weichselbaum;00116;Krobotek;8382
10510;Weichselbaum;00117;Maria Bild;8382
10510;Weichselbaum;00118;Rosendorf;8382
10510;Weichselbaum;00119;Weichselbaum;8382
10511;Königsdorf;00089;Königsdorf;7563
10512;Mühlgraben;00106;Mühlgraben;8385
10601;Draßburg;00121;Draßburg;7021
10602;Forchtenstein;00122;Forchtenstein;7212
10603;Hirm;00125;Hirm;7024
10604;Loipersbach im Burgenland;00126;Loipersbach im Burgenland;7020
10605;Marz;00127;Marz;7221
10606;Mattersburg;00128;Mattersburg;7210
10606;Mattersburg;00129;Walbersdorf;7210
10607;Neudörfl;00130;Neudörfl;7201
10608;Pöttelsdorf;00131;Pöttelsdorf;7023
10609;Pöttsching;00134;Pöttsching;7033 7202
10610;Rohrbach bei Mattersburg;00135;Rohrbach bei Mattersburg;7222
10611;Bad Sauerbrunn;00136;Bad Sauerbrunn;7202
10612;Schattendorf;00137;Schattendorf;7022
10613;Sieggraben;00138;Sieggraben;7223
10614;Sigleß;00140;Sigleß;7032
10615;Wiesen;00141;Wiesen;7202 7203
10616;Antau;00124;Antau;7042
10617;Baumgarten;00120;Baumgarten;7021
10618;Zemendorf-Stöttera;00132;Stöttera;7023
10618;Zemendorf-Stöttera;00133;Zemendorf;7023
10619;Krensdorf;00139;Krensdorf;7031
10701;Andau;00142;Andau;7163
10702;Apetlon;00143;Apetlon;7132 7143 7161
10703;Bruckneudorf;00144;Bruckneudorf;2460
10703;Bruckneudorf;00145;Kaisersteinbruch;2460 2462
10703;Bruckneudorf;00146;Königshof;2460 2462
10704;Deutsch Jahrndorf;00147;Deutsch Jahrndorf;2423
10705;Frauenkirchen;00148;Frauenkirchen;7132
10706;Gattendorf;00149;Gattendorf;2474
10707;Gols;00152;Gols;7122
10708;Halbturn;00153;Halbturn;7123 7131
10709;Illmitz;00154;Illmitz;7142
10710;Jois;00155;Jois;7093
10711;Kittsee;00157;Kittsee;2421
10712;Mönchhof;00158;Mönchhof;7123
10713;Neusiedl am See;00159;Neusiedl am See;7100
10714;Nickelsdorf;00160;Nickelsdorf;2425
10715;Pama;00161;Pama;2422
10716;Pamhagen;00162;Pamhagen;7152
10717;Parndorf;00163;Parndorf;2471 7111
10718;Podersdorf am See;00164;Podersdorf am See;7141
10719;Sankt Andrä am Zicksee;00165;Sankt Andrä am Zicksee;7161
10720;Tadten;00166;Tadten;7162
10721;Wallern im Burgenland;00167;Wallern im Burgenland;7151
10722;Weiden am See;00168;Weiden am See;7100 7121
10723;Winden am See;00169;Winden am See;7092
10724;Zurndorf;00170;Zurndorf;2424
10725;Neudorf;00150;Neudorf;2475
10726;Potzneusiedl;00151;Potzneusiedl;2473
10727;Edelstal;00156;Edelstal;2413
10801;Deutschkreutz;00171;Deutschkreutz;7301
10801;Deutschkreutz;01192;Girm;7301
10802;Draßmarkt;00173;Draßmarkt;7372
10802;Draßmarkt;00174;Karl;7372
10802;Draßmarkt;00175;Oberrabnitz;7371
10803;Frankenau-Unterpullendorf;00176;Frankenau;7361
10803;Frankenau-Unterpullendorf;00177;Großmutschen;7452
10803;Frankenau-Unterpullendorf;00178;Kleinmutschen;7452
10803;Frankenau-Unterpullendorf;00179;Unterpullendorf;7452
10804;Großwarasdorf;00180;Großwarasdorf;7304
10804;Großwarasdorf;00181;Kleinwarasdorf;7304
10804;Großwarasdorf;00182;Langental;7304
10804;Großwarasdorf;00183;Nebersdorf;7304
10805;Horitschon;00184;Horitschon;7312
10805;Horitschon;00185;Unterpetersdorf;7312
10806;Kaisersdorf;00186;Kaisersdorf;7342
10807;Kobersdorf;00188;Kobersdorf;7332
10807;Kobersdorf;00189;Lindgraben;7341
10807;Kobersdorf;00190;Oberpetersdorf;7332
10808;Lackenbach;00191;Lackenbach;7322
10809;Lockenhaus;00192;Glashütten bei Langeck im Burgenland;7442
10809;Lockenhaus;00193;Hammerteich;7442
10809;Lockenhaus;00194;Hochstraß;7442
10809;Lockenhaus;00195;Langeck im Burgenland;7442
10809;Lockenhaus;00196;Lockenhaus;7442
10810;Lutzmannsburg;00197;Lutzmannsburg;7361
10810;Lutzmannsburg;00198;Strebersdorf;7361
10811;Mannersdorf an der Rabnitz;00199;Klostermarienberg;7444
10811;Mannersdorf an der Rabnitz;00200;Liebing;7443
10811;Mannersdorf an der Rabnitz;00201;Mannersdorf an der Rabnitz;7444
10811;Mannersdorf an der Rabnitz;00203;Rattersdorf;7443
10811;Mannersdorf an der Rabnitz;00204;Unterloisdorf;7444
10812;Markt Sankt Martin;00205;Landsee;2812 7341
10812;Markt Sankt Martin;00206;Markt Sankt Martin;7341
10812;Markt Sankt Martin;00207;Neudorf bei Landsee;7341
10813;Neckenmarkt;00208;Haschendorf;7311
10813;Neckenmarkt;00209;Neckenmarkt;7311
10814;Neutal;00210;Neutal;7343
10815;Nikitsch;00211;Kroatisch Geresdorf;7361
10815;Nikitsch;00212;Kroatisch Minihof;7302
10815;Nikitsch;00213;Nikitsch;7302
10816;Oberpullendorf;00214;Mitterpullendorf;7304 7350
10816;Oberpullendorf;00215;Oberpullendorf;7350
10817;Pilgersdorf;00216;Bubendorf im Burgenland;7441
10817;Pilgersdorf;00217;Deutsch Gerisdorf;7441
10817;Pilgersdorf;00218;Kogl im Burgenland;7441
10817;Pilgersdorf;00219;Lebenbrunn;7441
10817;Pilgersdorf;00220;Pilgersdorf;7441
10817;Pilgersdorf;00221;Salmannsdorf;7441
10817;Pilgersdorf;00222;Steinbach im Burgenland;7441
10818;Piringsdorf;00223;Piringsdorf;7373
10819;Raiding;00227;Raiding;7321
10820;Ritzing;00229;Ritzing;7323
10821;Steinberg-Dörfl;00230;Dörfl;7453
10821;Steinberg-Dörfl;00231;Steinberg;7453
10822;Stoob;00232;Stoob;7344
10823;Weppersdorf;00233;Kalkgruben;7331
10823;Weppersdorf;00234;Tschurndorf;7331
10823;Weppersdorf;00235;Weppersdorf;7331
10824;Lackendorf;00226;Lackendorf;7321
10825;Unterfrauenhaid;00228;Unterfrauenhaid;7321
10826;Unterrabnitz-Schwendgraben;00224;Schwendgraben;7371
10826;Unterrabnitz-Schwendgraben;00225;Unterrabnitz;7371
10827;Weingraben;00187;Weingraben;7374
10828;Oberloisdorf;00202;Oberloisdorf;7451
10901;Bad Tatzmannsdorf;00236;Bad Tatzmannsdorf;7431
10901;Bad Tatzmannsdorf;00237;Jormannsdorf;7431
10901;Bad Tatzmannsdorf;00238;Sulzriegel;7431
10902;Bernstein;00239;Bernstein;7434
10902;Bernstein;00240;Dreihütten;2852 7434
10902;Bernstein;00241;Redlschlag;7434
10902;Bernstein;00242;Rettenbach;7434
10902;Bernstein;00243;Stuben;7434
10903;Deutsch Schützen-Eisenberg;00244;Deutsch-Schützen;7474
10903;Deutsch Schützen-Eisenberg;00245;Edlitz im Burgenland;7474
10903;Deutsch Schützen-Eisenberg;00246;Eisenberg an der Pinka;7474
10903;Deutsch Schützen-Eisenberg;00247;Höll;7474
10903;Deutsch Schützen-Eisenberg;00248;Sankt Kathrein im Burgenland;7474
10904;Grafenschachen;00249;Grafenschachen;7423
10904;Grafenschachen;00250;Kroisegg;7423
10905;Großpetersdorf;00252;Großpetersdorf;7503
10905;Großpetersdorf;00254;Kleinpetersdorf;7503
10905;Großpetersdorf;00255;Kleinzicken;7503
10905;Großpetersdorf;00256;Miedlingsdorf;7503
10905;Großpetersdorf;00257;Welgersdorf;7503
10906;Hannersdorf;00258;Burg;7473 7474
10906;Hannersdorf;00259;Hannersdorf;7473
10906;Hannersdorf;00260;Woppendorf;7473
10907;Kemeten;00261;Kemeten;7531
10908;Kohfidisch;00263;Harmisch;7512
10908;Kohfidisch;00264;Kirchfidisch;7512
10908;Kohfidisch;00265;Kohfidisch;7512
10909;Litzelsdorf;00266;Litzelsdorf;7532
10910;Loipersdorf-Kitzladen;00267;Kitzladen;7411
10910;Loipersdorf-Kitzladen;00268;Loipersdorf im Burgenland;7411
10911;Mariasdorf;00269;Bergwerk;7433
10911;Mariasdorf;00270;Grodnau;7433
10911;Mariasdorf;00271;Mariasdorf;7433
10911;Mariasdorf;00272;Neustift bei Schlaining;7433
10911;Mariasdorf;00273;Tauchen;7433
10912;Markt Allhau;00274;Buchschachen;7411
10912;Markt Allhau;00275;Markt Allhau;7411
